Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,1.666667,1.728000,0.998667,1.298667,1.298667,1194210000
2010-09-01,1.308000,2.400000,1.300000,2.355333,2.355333,793632000
2010-12-01,2.391333,2.428000,1.407333,1.592667,1.592667,1419247500
2011-03-01,1.603333,2.018667,1.451333,2.009333,2.009333,1392105000
2011-06-01,2.000000,2.100000,1.433333,1.649333,1.649333,1320676500
2011-09-01,1.644000,2.333333,1.486000,2.182667,2.182667,982963500
2011-12-01,2.171333,2.333333,1.509333,2.227333,2.227333,1048980000
2012-03-01,2.234000,2.663333,1.788667,1.966667,1.966667,1186525500
2012-06-01,1.902000,2.400000,1.701333,1.901333,1.901333,1247289000
2012-09-01,1.901333,2.286000,1.790667,2.254667,2.254667,1120153500
2012-12-01,2.259333,2.666667,2.140667,2.322000,2.322000,1416523500
2013-03-01,2.333333,7.660000,2.283333,6.517333,6.517333,6636360000
2013-06-01,6.508000,11.533333,5.883333,11.266667,11.266667,10018642500
2013-09-01,11.560000,12.966667,7.740000,8.485333,8.485333,11070808500
2013-12-01,8.423333,17.666668,8.262000,16.320667,16.320667,9112864500
2014-03-01,15.817333,17.333332,11.814667,13.851333,13.851333,7000552500
2014-06-01,13.822000,18.133333,13.283333,17.980000,17.980000,5192439000
2014-09-01,18.366667,19.427999,14.488000,16.301332,16.301332,5889339000
2014-12-01,16.077333,16.164667,12.333333,13.556000,13.556000,4858032000
2015-03-01,13.513333,16.858000,12.093333,16.719999,16.719999,4665945000
2015-06-01,16.760668,19.110001,13.000000,16.604000,16.604000,3911973000
2015-09-01,16.022667,18.104668,13.466667,15.350667,15.350667,3893827500
2015-12-01,15.404000,16.242001,9.403333,12.795333,12.795333,4091977500
2016-03-01,12.950000,17.955999,12.100000,14.882000,14.882000,5126052000
2016-06-01,14.765333,16.056667,12.524667,14.134000,14.134000,3870417000
2016-09-01,13.934000,14.378000,11.879333,12.626667,12.626667,3924760500
2016-12-01,12.550000,19.159332,12.000000,16.666000,16.666000,4623195000
2017-03-01,16.945333,22.859333,16.185333,22.733999,22.733999,5580483000
2017-06-01,22.933332,25.799334,20.208668,23.726667,23.726667,7567990500
2017-09-01,23.741333,25.974001,19.508667,20.590000,20.590000,5750433000
2017-12-01,20.362667,24.033333,19.650667,22.870667,22.870667,5150193000
2018-03-01,23.000668,23.244667,16.306000,18.982000,18.982000,7547361000
2018-06-01,19.057333,25.830667,18.922667,20.110666,20.110666,9946702500
2018-09-01,19.796000,24.450001,16.518000,23.365334,23.365334,9231828000
2018-12-01,24.000000,25.299334,18.618668,21.325333,21.325333,6759801000
2019-03-01,20.462667,20.475332,12.273333,12.344000,12.344000,10907094000
2019-06-01,12.367333,17.738001,11.799333,15.040667,15.040667,8221468500
2019-09-01,14.938667,24.080000,14.557333,21.996000,21.996000,7822930500
2019-12-01,21.959999,64.599335,21.816668,44.532665,44.532665,16303279500
2020-03-01,47.417332,57.987999,23.367332,55.666668,55.666668,16126741500
2020-06-01,57.200001,166.713333,56.939999,166.106674,166.106674,14188228200
2020-09-01,167.380005,202.600006,109.959999,189.199997,189.199997,10057650000
2020-12-01,199.196671,300.133331,180.403336,225.166672,225.166672,7274696100
2021-03-01,230.036667,260.263336,179.830002,208.406662,208.406662,6738503700
2021-06-01,209.266663,246.796661,190.406662,245.240005,245.240005,4049089800
2021-09-01,244.693329,414.496674,236.283340,381.586670,381.586670,4704652200
2021-12-01,386.899994,402.666656,233.333328,290.143341,290.143341,4837300800
2022-03-01,289.893341,384.290009,206.856674,252.753326,252.753326,5198454300
2022-06-01,251.720001,314.666656,208.693329,275.609985,275.609985,5451375100
2022-09-01,272.579987,313.799988,166.190002,194.699997,194.699997,4919809400
2022-12-01,197.080002,217.649994,101.809998,205.710007,205.710007,10466592200
2023-03-01,206.210007,207.789993,152.369995,203.929993,203.929993,8498791000
2023-06-01,202.589996,299.290009,199.369995,258.079987,258.079987,8334147800
2023-09-01,257.260010,278.980011,194.070007,240.080002,240.080002,7680674600
2023-12-01,233.139999,259.839996,228.199997,252.539993,252.539993,1886976400
2023-12-22,256.760010,258.220001,251.384995,252.539993,252.539993,93370094
